Company,Address,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items
Vincent Cabinet Service Inc ,1727 W Grand,Kinzie Industrial Corridor Industrial Corridor,04/24/2007,$15634.00,$11635.62,replace roof trusses
Super Communication Inc,3435 W Lawrence,Lawrence/Kedzie,04/25/2007,$5300.00,$2650.00,"Signage, security system"
Am Sewing Dynamics,4534 W North,Northwest Industrial Corridor,04/26/2007,$100000.00,$50000.00,"roof, facade, parking lot, HVAC, electrical, awning"
Doris Photo Studio ,3221-23 W North,Humboldt Park,04/26/2007,$106651.07,$43439.99,"Storefront, Masonry, Signage, Awning"
OK Trading Inc ,3749 W Lawrence,Lawrence/Kedzie,04/27/2007,$88750.00,$48812.50,"HVAC, doors, paving, facade, floors, walls"
Hemina Patel Insurance State Farm,3837 N Western,Western Ave South,04/30/2007,$299246.50,$50000.00,complete rehab
Albany Park Auto Clinic,3848 W Lawrence,Lawrence/Kedzie,05/03/2007,$19900.00,$9950.00,Fencing
Leo Naturals John Yukeun Oh,3242 W Foster,Lawrence/Kedzie,05/03/2007,$19124.95,$10518.72,Complete Renovation
Hope 4 Us ,3920 W Roosevelt,Midwest,05/18/2007,$36200.00,$9500.00,"Roof, windows, tuck pointing, awning, HVAC, remodel bathrooms, painting, electrical, kitchen"
Mr Floyd Bolden,3227 W Harrison,Midwest,05/21/2007,$75000.00,$50000.00,Complete Renovations
Asset Recovery Services ,1751-59 W Grand,Kinzie Industrial Corridor Industrial Corridor,05/23/2007,$223300.00,$50000.00,Total Building Rehab
Vector Custom Fabricating,2128 W Fulton,Kinzie Industrial Corridor Industrial Corridor,05/23/2007,$85000.00,$46750.00,"install fixed equipment, purchase adjacent lot"
Karr Insurance Services ,5722 S Pulaski,63rd/Pulaski,06/14/2007,$70831.53,$50000.00,
Nok Yong House ,4201 W Lawrence,Lawrence/Pulaski,06/19/2007,$15000.00,$6820.00,"HVAC, paving, electrical, ceilings, floors"
GF 6 Mason LLC ,5933-49 W Madison,Madison/Austin Corridor,06/25/2007,$80253.47,$50000.00,"storefront, bathrooms, electrical"
Michael J Krepps DDS & Associates ,3806 W 63rd,63rd/Pulaski,06/28/2007,$69047.00,$36820.71,Complete Renovation
Chicago Kalbi Restaurant,3752 W Lawrence,Lawrence/Kedzie,07/19/2007,$12422.00,$6211.00,HVAC
Matsumoto Restaurant ,3800 W Lawrence,Lawrence/Kedzie,07/19/2007,$43000.00,$10629.30,"HVAC, storefront, signage"
Boca Ad Agency ,2456 W Division,Humboldt Park,07/23/2007,$70500.00,$50000.00,"Roof, facade, HVAC, bathroom, carpentry, floors"
L & M Welding Co,4619 W Armitage,Northwest Industrial Corridor,07/23/2007,$111005.00,$50000.00,"Masonry, windows, electrical & plumbing, drywall"
Friendship Chinese Restaurant,2830 N Milwaukee,Fullerton/Milwaukee,07/24/2007,$94110.00,$50000.00,"HVAC, signage, awning, roof, windows, interior and exterior remodeling"
C & K Fashions,4012 W North,Pulaski Industrial,07/25/2007,$24204.03,$9352.02,"Replace windows, doors, tuckpoint"
DSBDA Enrique Salgado,2649 W Division,Humboldt Park,07/27/2007,$100000.00,$50000.00,Complete Build-out
Lawrence-Kedzie Self Storage,3215 W Lawrence,Lawrence/Kedzie,07/27/2007,$11293.55,$5314.50,Storefront
BP Electric Motors,4014 N Western,Western Ave South,08/23/2007,$173596.00,$13456.94,Storefront
Magnus Screw Products Corp ,1818 N Latrobe,Galewood/Armitage Industrial,08/23/2007,$65948.21,$31944.00,"Tuckpointing, windows/skylight, signage, gates"
Landlord,2733 W Division,Humboldt Park,08/24/2007,$77234.60,$38617.30,"Ceiling, facade, storefront,"
Logan Square Dental Service ,3946 N Cicero Av,Portage Park,08/24/2007,$67500.00,$34050.00,"Storefront, masonry, windows, electrical"
Plants Inc,2459 W Montrose,Western Ave South,08/29/2007,$78338.00,$37917.00,"storefront, lintels, masonary, interior renovations, signage"
La Luce ,1393 W Lake,Kinzie Industrial Corridor Industrial Corridor,09/06/2007,$250000.00,$50000.00,purchase adjacent property for parking
Charcoal Delights ,3139 W Foster,Lawrence/Kedzie,09/21/2007,$200000.00,$50000.00,Complete Renovation
Three's Kompany Hair Design,6324 S Pulaski,63rd/Pulaski,09/21/2007,$38400.00,$28142.40,"HVAC, floor, painting, awning, alarm"
JGF Management,1312-16 E 53rd,53rd Street,09/25/2007,$62500.00,$31250.00,"Roof, canopy, terra-cotta"
Jackie Smith,645-49 W 119th St,119th/Halsted,10/02/2007,$233800.00,$50000.00,complete renovations
John Payne,2746 - 48 W Chicago,Kinzie Industrial Corridor Industrial Corridor,10/18/2007,$56500.00,$30942.13,Masonry work / Facade
North Park Auto ,5033 N Kedzie,Lawrence/Kedzie,10/25/2007,$4900.00,$2450.00,"Roof, Fence, Parking Lot, HVAC, Storefront, Window, Doors, Sign"
Ssyal Ginseng House ,4201-A W Lawrence,Lawrence/Pulaski,10/25/2007,$2200.00,$1650.00,signage
Lucious H Smith,239-243 W 119th,119th/Halsted,11/14/2007,$50679.00,$25339.50,"Roof repair, plumbing, electrical, bathrooms, windows"
State Farm Insurance ,1700 E 87th,Stony Island Avenue Commercial and Burnside Industrial Corridors,11/26/2007,$16580.78,$6559.60,"Awning, signage, office buildout, electronic door system"
Bark Out Loud,5232 W Irving Park,Portage Park,11/29/2007,$71640.00,$50000.00,"Facade, Windows, Electric, interior renovations, sprikler system, flooring"
POW! Mixed Martial Arts School Inc,950 W Washington,Kinzie Industrial Corridor Industrial Corridor,12/05/2007,$86068.65,$43034.33,"Expansion, remodeling offices"
Lorna's Laces ,4229 N Honore,Ravenswood,12/07/2007,$11600.00,$6380.00,HVAC
Automotive Painters Suppy Inc,3750 W 63rd ,63rd/Pulaski,12/10/2007,$84213.00,$42106.50,"Electrical, facade, lighting, drywall, paint"
C&W Building Services Inc,1444 W Lake ,Kinzie Industrial Corridor Industrial Corridor,12/10/2007,$53203.96,$26601.98,"Roof, Masonry repairs/tuckpointing, sidewalk and curb repair"
Paws & Claws Daycare Inc,5015 N Western,Western Ave North,12/10/2007,$380000.00,$149999.00,Purchase adjacent property for expansion of business
Las Tablas ,4920 W Irving Park,Portage Park,12/13/2007,$39937.00,$19968.50,"Flooring, Windows, Electrical, Kitchen repair"
NY Shoes Import ,3546 W Lawrence,Lawrence/Kedzie,12/14/2007,$8000.00,$4400.00,"Signage, Awning"
Constantinos Stavropoulos,6928 S Pulaksi,63rd/Pulaski,12/21/2007,$238345.00,$50000.00,"HVAC, roof, parking lot, landscaping, storefront, facade, plumbing, electrical, signs, sidewalks, walls"
HydroAire Inc,1238 N Kostner,Northwest Industrial Corridor,01/02/2008,$32800.00,$16400.00,"Roof, HVAC, electrical, parking lot, sewers,"
Flying Pan,1509 E 53rd,53rd Street,01/14/2008,$99505.07,$49752.54,"lighting, windows, floor, buildout, demo, drywall, ceiling, bathroom,"
Beyond Design Inc,4521 N Ravenswood,Ravenswood,01/16/2008,$204955.36,$50000.00,"hardscape, landscape, lighting, water service"
Ranjit K Teji MDSC,3344 S Halsted,35th/Halsted,01/16/2008,$32164.00,$16082.00,"Facade, expansion, sign, tuckpointing, floor, carpet, window, ramp,"
Staropolska,3028-30 N Milwaukee,Fullerton/Milwaukee,01/16/2008,$85000.00,$42500.00,"facade, windows, doors, signage"
1154 Lill Ltd.,1511 W 38th/St,35th/Halsted,01/17/2008,$321850.00,$50000.00,HVAC
Gus Berthold Electric Co ,1900 W Carroll,Kinzie Industrial Corridor Industrial Corridor,01/23/2008,$6620.00,$3310.00,Tuckpointing
The Windsor Tavern,4530 N Milwaukee,Jefferson Park ,01/28/2008,$32535.00,$16267.50,basement floor
Consolidated Chemical Works ,400 N Ashland,Kinzie Industrial Corridor Industrial Corridor,01/30/2008,$85000.00,$42500.00,Insulate Building
Pratt Beach Apartments LLC,6760 N Sheridan Rd,Devon/Sheridan,02/05/2008,$21960.00,$10980.00,steam boiler
Roseland Auto ,11725-27 S Michigan,Roseland/Michigan,02/06/2008,$31000.00,$23250.00,"Roof,walls"
Ranjit K Teji MDSC,3344 S Halsted,35th/Halsted,02/12/2008,$20744.00,$10372.00,HVAC
Illinois Engraving & Mfg,4530 N Ravenswood,Ravenswood,03/12/2008,$22071.00,$16553.25,Roof
Chi S Whang Style House,4661 N Broadway,Wilson Yard,03/17/2008,$13000.00,$6500.00,Roof
Wicker Heights Construction Co Inc ,3026 - 30 W Carroll,Kinzie Industrial Corridor Industrial Corridor,04/15/2008,$68965.00,$50000.00,"facade repair, new doors, water service, tuckpointing, exhaust fan, hvac"
Addison Pipe & Tube Co ,355 N Lavergne,Northwest Industrial Corridor,04/17/2008,$282000.00,$27411.50,"roofing, fencing, flooring, siding repair, parking"
Addison Pipe & Tube Co ,355 N Lavergne,Northwest Industrial Corridor,04/17/2008,$40678.00,$20339.00,"roofing, fencing, flooring, siding repair, parking"
Benjamin Turcuato United Rehab Center PC,4257 N Milwaukee,Portage Park,04/17/2008,$66500.00,$19800.00,"plumbing, electrical, wall, ceilings, bathrooms, buildoutcabinets, countertop"
Pressure Billiards Wahib Merchant,6318 N Clark,Clark/Ridge,04/18/2008,$15500.00,$8525.00,"fence, sign, landscape, HVAC"
ShowerWorks Inc,4835 W Grand,Galewood/Armitage Industrial,04/18/2008,$251780.67,$125564.00,"Complete office buildout, electrical, plumbing, HVAC"
Villa Roma Hair Designers,3936 N Cicero,Portage Park,04/18/2008,$3060.00,$2295.00,tuckpointing
Villa Roma Hair Designers,3936 N Cicero,Portage Park,04/18/2008,$5900.00,$4425.00,tuckpointing
Villa Roma Hair Designers,3936 N Cicero,Portage Park,04/18/2008,$30650.00,$22987.50,tuckpointing
Dusan D Surovy,4251-57 N Milwaukee,Portage Park,04/20/2008,$60585.00,$30200.00,"Storefront, paved parking lot, HVAC, masonry, tuck pointing, iron fence"
Aqua World USA Inc ,5419 N Lincoln,Lincoln Avenue,04/21/2008,$99800.00,$50000.00,"Store fronts, signs, parking lot paved, roof, windows, doors, bathrooms, electrical, HVAC, Drop ceilings"
Debra A Pernell Agency,9206 S Cottage Gr,87th/Cottage Grove,04/23/2008,$109813.27,$50000.00,"brickwork - tuckpointing, furnace, electrical, plumbing, roof, new bath and kitchen"
Chatham Business Center LLC ,753 E 79th,87th/Cottage Grove,04/24/2008,$39746.00,$19873.00,"signs, awnings, replace bars on windows with rolling interior shutters"
Coco Restaurant ,3755 N Sacramento,Humboldt Park,04/25/2008,$94500.00,$37028.00,"roof, tuckpointing, demolition, new drywall, floor"
Payless Fashion House ,4021 W North,Pulaski Industrial,04/28/2008,$20790.00,$10395.00,"Storefront, windows"
Model Options Grant Urban,344 N Ogden,Kinzie Industrial Corridor Industrial Corridor,04/29/2008,$20195.97,$10097.99,"Masonry, awning, repaving,"
Manske Dieckman Thompson ,4619 N Broadway,Wilson Yard,05/02/2008,$92787.81,$45812.25,"office buildout, bathroom, plumbing, lighting, new entry door, partitions, electrical, HVAC, signage"
Matt Denny Uptown Recording,4656 N Clifton,Wilson Yard,05/02/2008,$58490.00,$29245.00,"Signage, Awning, Security Cameras, Tuckpointing, solar hot water heater"
La Clinica ,5738 S Pulaski,63rd/Pulaski,05/06/2008,$38122.65,$14258.75,"interior renovation, hvac, signage"
Geroge Zaremba & Virginia Silk,3404 W Lake,Midwest,05/07/2008,$100283.00,$50000.00,"Roof, HVAC, electrical, garage door, bathroom"
Piggy Toes ,4548 N Western,Western Ave North,05/08/2008,$21942.55,$10828.15,"Replace window frames and resize glass, install new door"
Albany Steel & Brass,1913 W Grand,Kinzie Industrial Corridor Industrial Corridor,05/12/2008,$2300.00,$990.00,Tar sealcoating and striping of parking lot
Roseland Auto ,11725-27 S Michigan,Roseland/Michigan,05/16/2008,$23000.00,$17250.00,"Roof, tuck pointing, awnings, facade, paving parking lot, HVAC, drop ceiling, lighting, siding"
Damen Lake Property LLC (Standard Equipment Co) ,2033 W Walnut,Kinzie Industrial Corridor Industrial Corridor,05/28/2008,$40407.00,$20352.00,Lighting
New Age Childrens Prep Academy ,10951 S Michigan,Roseland/Michigan,05/29/2008,$71734.00,$39453.70,"Sprinkler system, plumbing"
Ex-Cel Corned Beef Co,1009 W Lake,Kinzie Industrial Corridor Industrial Corridor,06/04/2008,$22273.00,$11136.50,"Doors, windows, wall & ceiling panels"
West End Tatas Pizza Inc,3019 W 111th,111th/Kedzie,06/09/2008,$36468.00,$18234.00,"roofing, fencing"
Darryl & Fylynne Crawford Kimbark Coin Laundry 6,1218 E 53rd,53rd Street,06/12/2008,$5576.29,$2788.15,"sign, HVAC, floor expansion, water heater"
Madison Pine Dental Clinic,5470 W Madison,Madison/Austin Corridor,06/18/2008,$91500.00,$45750.00,"facade, doors, handicap accessible entrace"
POW! Mixed Martial Arts School Inc,950 W Washington,Kinzie Industrial Corridor Industrial Corridor,06/19/2008,$12377.50,$6188.75,"Expansion, remodeling offices"
Diana Lupez-Obaldo,2525 W Division,Humboldt Park,06/23/2008,$96403.00,$50000.00,"Doors, windows, HVAC, electrical, plumbing, masonry, floors"
Design Integrity Inc ,1155 W Fulton Market,Kinzie Industrial Corridor Industrial Corridor,06/24/2008,$100000.00,$50000.00,"interior buildout, HVAC, Electrical, windows"
Namita Handa ,4941-43 N Milwaukee,Jefferson Park ,06/24/2008,$4900.00,$2250.00,Roofing & plumbing
Chicagoland Beverage,2056 W Walnut,Kinzie Industrial Corridor Industrial Corridor,07/17/2008,$84960.00,$44117.50,elevator modernization
Roseland Auto ,11725-27 S Michigan,Roseland/Michigan,07/18/2008,$20360.00,$9500.00,"Roof, tuck pointing, awnings, facade, paving parking lot, HVAC, drop ceiling, lighting, siding"
Bubbly Dynamics LLC,1400 W 46th,35th/Halsted,07/24/2008,$92400.00,$45000.00,"Greenhouse roof, porch, handrails, sunshades, green facades, floors, windows, front entrance"
Schulhof Co ,4701-35 N Ravenswood,Ravenswood,07/29/2008,$515679.00,$150000.00,"Complete office renovation, upgrade loading docks, new overhead truck entrance"
Artemios Tacos ,4918 W Irving Park,Portage Park,08/12/2008,$13650.00,$6825.00,"facade renovation, interior renovation, sigage, roofing, sewer repair"
Pet Care Plus Ltd ,1328 W Lake,Kinzie Industrial Corridor Industrial Corridor,08/12/2008,$78466.16,$39233.08,"facade, windows, doors, awning, floor, electrical, plumbing,"
J. K. Kabab House,6412 N. Rockwell St.  ,Devon/Western,08/14/2008,$67052.00,$33526.00,
HydroAire Inc,1238 N Kostner,Northwest Industrial Corridor,08/18/2008,$41514.00,$20757.00,Cranes
Anmar Foods ,2142 W Carroll,Kinzie Industrial Corridor Industrial Corridor,08/22/2008,$125747.00,$62873.50,roof
Chi S Whang Style House,4661 N Broadway,Wilson Yard,08/22/2008,$21060.00,$10166.38,"Removal of underground storage tank, investigation and closure of tank removal"
Ivory Cleaners,3857 W Roosevelt,Midwest,08/22/2008,$12880.00,$6440.00,"Electrical, tuckpointing, shutters, sign, ceiling"
Nima Corp dba Noon O Kabab ,4651 N Kedzie,Lawrence/Kedzie,08/26/2008,$28040.00,$14324.00,"Interior renovations, fixed asset equipment, parking lot, systems renovation, fencing"
Ellana Designs Boutique ,7511 S Cottage Gr,87th/Cottage Grove,09/03/2008,$97300.00,$72975.00,"Roofing, HVAC, lighting, stairs, drywall, electrical, remove pipes & Signage"
Sun Hee Lim,5668 N Clark,Clark/Ridge,09/18/2008,$82782.00,$62086.50,"Interior drycleaning buildout,awnings,"
Sun Hee Lim,5668 N Clark,Clark/Ridge,09/18/2008,$19800.00,$14850.00,"Tuckpointing, brickwork"
Ming Yan Ho,3310 S Halsted,35th/Halsted,09/22/2008,$105000.00,$76590.92,"HVAC, storefront, bathroom, walls, electrical, floors, roof"
Metropolis Coffee Co LLC,5545 N Clark,Clark/Ridge,09/23/2008,$300000.00,$150000.00,"office buildout, HVAC, electrical, plumbing, bathrooms, production tables, pallet racks, purchase parking spots"
Pratt Beach Apartments LLC,6760 N Sheridan Rd,Devon/Sheridan,09/25/2008,$13555.00,$6777.50,plumbing
Chromium Industries Inc ,4645 W Chicago,Northwest Industrial Corridor,10/07/2008,$105550.00,$50000.00,roofing
Bright Endeavors ,4229 N Ravenswood,Ravenswood,10/14/2008,$7590.00,$3795.00,"Plumbing, capentry, electrical work, fix stairs, drywall, window trimmings, HVAC"
Jerome Kadleck DDS,5236 W Belmont,Belmont/Central,10/14/2008,$37910.00,$18955.00,"facade/storefront renovation, roofing repair, doors, parking lot paving"
Eric J Lindsay Insurance Inc,3708 W Roosevelt,Midwest,10/15/2008,$115093.75,$57546.88,"Purchase vacant lot, stone & pave lot, fencing"
Ex-Cel Corned Beef Co,1009 W Lake,Kinzie Industrial Corridor Industrial Corridor,10/15/2008,$51089.76,$25544.88,"Roofing, floors"
Vista Family Medicine,10961 S Kedzie,111th/Kedzie,10/15/2008,$766458.64,$50000.00,Complete Renovation
Hold This Corp ,1501 N Magnolia ,North Branch (South),10/17/2008,$88109.91,$44054.10,"Fencing, security system,"
Addison Pipe & Tube Co ,355 N Lavergne,Northwest Industrial Corridor,10/20/2008,$217853.53,$102249.50,"roofing, fencing, flooring, siding repair, parking"
Scott Wilson Design ,1032 N Fulton Market # 201,Kinzie Industrial Corridor Industrial Corridor,10/21/2008,$120700.00,$29550.00,"glass walls, light fixtures, plumbing, kitchen island, deck w/built-in lighting and seating, curtains, blinds, speakers"
Bertina Power-Stewart,8053-57 S Stony Island,Stony Island Avenue Commercial and Burnside Industrial Corridors,10/24/2008,$63000.00,$47250.00,"Roof, doors, electrical, HVAC"
Doshi Distributers,2323 N Pulaski Rd,Pulaski Industrial,10/24/2008,$48000.00,$23425.00,"electrical service, hvac, storefront, parking"
Doshi Distributers,2323 N Pulaski Rd,Pulaski Industrial,10/24/2008,$53150.00,$26575.00,"electrical service, hvac, storefront, parking"
Jewelry Design Ltd,2210 S Halsted,Pilsen ,10/24/2008,$94289.00,$46530.00,"Facade, Tuckpointing, Flooring"
Hae D Park,3835 W Lawrence,Lawrence/Kedzie,10/28/2008,$73338.00,$36669.00,"storefront, masonry, hvac, roofing, electrical, windows"
Secure Eco Shred ,4455 N Elston,Lawrence/Pulaski,10/29/2008,$5900.00,$2950.00,awnings/signage
Kenneth Motew,1032 W Fulton Market,Kinzie Industrial Corridor Industrial Corridor,11/06/2008,$225500.00,$112750.00,"office build-out,"
M Henry Cafe,5707 N Clark,Clark/Ridge,11/06/2008,$51969.50,$25984.75,"landscaping, masonry, structural improvements, carpentry, walls, bathroom, HVAC, Signage"
Fun Incorporated ,2100 N Major,Galewood/Armitage Industrial,11/10/2008,$40165.00,$20082.50,"Roof, tuckpointing, flashing, drain, aluminum coating"
David Vondle,3009 W Fullerton,Fullerton/Milwaukee,11/11/2008,$10900.00,$8175.00,Green Roof
Take the Cake ,1635 W Walnut,Kinzie Industrial Corridor Industrial Corridor,11/11/2008,$72202.00,$36101.00,"Expansion, walk-in freezer,"
Chung Mickey Figura,8702 S Commercial,Commercial Avenue,11/25/2008,$165096.00,$123822.00,"hvac, electrical, plumbing, interior renovation, ,floor, facade/storefront"
Namita Handa ,4941-43 N Milwaukee,Jefferson Park ,11/26/2008,$20400.00,$10400.00,Roofing & plumbing
Chicago Pediatric Clinic Corp ,1916 W Irving Park,Western Ave South,12/03/2008,$41975.00,$20987.50,"Facade, windows, door, sandblasting, tuckpointing, floor, ceiling"
Lincoln Norabang Restaurant ,5524-28 N Lincoln,Lincoln Avenue,12/03/2008,$63000.00,$46439.25,"Roof, HVAC, Windows"
Villa Roma Hair Designers,3936 N Cicero,Portage Park,12/03/2008,$6000.00,$4500.00,Parking lot paving
Bertina Power-Stewart,8053-57 S Stony Island,Stony Island Avenue Commercial and Burnside Industrial Corridors,12/05/2008,$3000.00,$2250.00,plumbing
River North Storage ,1722 W Carroll,Kinzie Industrial Corridor Industrial Corridor,12/05/2008,$4700.00,$2350.00,"masonry repair, roofing repair"
C & K Fashions,4012 W North,Pulaski Industrial,12/10/2008,$30950.00,$15475.00,"HVAC, Roofing"
Cedars Mediterranean Kitchen LLC,1206 E 53rd,53rd Street,12/10/2008,$92200.00,$50482.31,"floor, sign, kitchen, door, security system, foyer, return air component for hood, walk-in freezer, broiler"
Plants Inc,2459 W Montrose,Western Ave South,12/17/2008,$7755.96,$2132.89,signage
Elizabeth Wangler,114 N Aberdeen,Near West,12/18/2008,$15113.00,$11334.75,MASONRY
Cougle Commission Co ,345 N Aberdeen,Kinzie Industrial Corridor Industrial Corridor,12/26/2008,$4085.76,$2042.88,Electrical
